ts,o,h,l,c,v
1790288820,5.432034436023957e-05,5.525232611624568e-05,5.348814590315282e-05,5.4246690129897696e-05,209.36537942284946
1790288880,5.4246690129897696e-05,5.55708290309739e-05,5.410054645663797e-05,5.471607954730438e-05,188.35609225691
1790288940,5.471607954730438e-05,6.062810907514099e-05,5.4494753574005785e-05,6.062810907514099e-05,638.562599684498
1790289000,6.062810907514099e-05,6.115300799162042e-05,5.730873500732852e-05,5.7553763739354226e-05,469.41404124026565
1790289060,5.7553763739354226e-05,5.8364769520003165e-05,5.7208788753756596e-05,5.8364390684620775e-05,79.22507625360994
1790289120,5.8364390684620775e-05,5.844678894640711e-05,5.612070194461983e-05,5.7097601280866635e-05,259.5041410323098
1790289180,5.7097601280866635e-05,5.792007723532822e-05,5.6420483781426586e-05,5.792007723532822e-05,183.82597953336736
1790289240,5.792007723532822e-05,6.207857435953446e-05,5.792007723532822e-05,6.207857435953446e-05,462.34412262836025
1790289300,6.207857435953446e-05,6.525438991493386e-05,5.8736351003419873e-05,6.503519042784773e-05,874.4042499306366
1790289360,6.503519042784773e-05,6.503519042784773e-05,6.247342132407771e-05,6.247342132407771e-05,163.95203088826503
1790289420,6.247342132407771e-05,6.339484496946619e-05,6.175526911996151e-05,6.251654836679137e-05,330.8483359347842
1790289480,6.251654836679137e-05,6.263496408442614e-05,6.13721618621249e-05,6.202593354337897e-05,123.77343337571652
1790289540,6.202593354337897e-05,6.247728060946437e-05,6.202593354337897e-05,6.244372588761122e-05,45.14681881983943
1790289600,6.244372588761122e-05,6.248890298271112e-05,6.114364507064994e-05,6.114364507064994e-05,125.613931349804
1790289660,6.114364507064994e-05,6.209081041369496e-05,6.059506136007656e-05,6.059506136007656e-05,145.63496870120318
1790289720,6.059506136007656e-05,6.059506136007656e-05,5.478981320589059e-05,5.59694827582161e-05,641.6221125239722
1790289780,5.59694827582161e-05,5.59694827582161e-05,4.7720048313012496e-05,4.894248740000495e-05,848.3162242259381
1790289840,4.894248740000495e-05,5.632612887389482e-05,4.4854462963354815e-05,4.563952104467006e-05,2149.172343077139
1790289900,4.563952104467006e-05,4.638329270242582e-05,3.6246001037026156e-05,3.740464724285122e-05,2364.0107952916665
1790289960,3.740464724285122e-05,4.2325485334915986e-05,3.740464724285122e-05,4.2325485334915986e-05,883.3104474504992
1790290020,4.2325485334915986e-05,4.3176120808929546e-05,4.0642350035264786e-05,4.170744239882867e-05,445.60866860430536
1790290080,4.170744239882867e-05,4.177442969211516e-05,4.051936280063732e-05,4.135194609813776e-05,227.67921582813122
1790290140,4.135194609813776e-05,4.37611894758266e-05,4.135194609813776e-05,4.37611894758266e-05,256.0230646002002
1790290200,4.37611894758266e-05,4.382249603469636e-05,4.209236479405262e-05,4.234507160667938e-05,218.9527786450078
1790290260,4.234507160667938e-05,4.234507160667938e-05,3.809626716419997e-05,3.810829505641188e-05,523.867160180367
1790290320,3.810829505641188e-05,4.0436558955024366e-05,3.810829505641188e-05,3.978856291494e-05,339.3744139382556
1790290380,3.978856291494e-05,4.2834168326380954e-05,3.9688883514808945e-05,4.227029885800276e-05,345.02635833153016
1790290440,4.227029885800276e-05,4.283306410749585e-05,4.131061038600687e-05,4.138849222403472e-05,152.45410260279021
1790290500,4.138849222403472e-05,4.2531777724691285e-05,4.0952453636938144e-05,4.2531777724691285e-05,340.32167280881833
1790290560,4.2531777724691285e-05,4.4054669570664235e-05,4.2531777724691285e-05,4.347247737831016e-05,124.31995047717774
1790290620,4.347247737831016e-05,4.401882866307004e-05,4.200622563587754e-05,4.254280846319567e-05,180.5469274687417
1790290680,4.254280846319567e-05,4.26290653043142e-05,4.190501167095793e-05,4.223059833999917e-05,93.87614800605674
1790290740,4.223059833999917e-05,4.2644164689670986e-05,4.120769177607464e-05,4.120769177607464e-05,228.11176357731574
1790290800,4.120769177607464e-05,4.245711516763449e-05,4.063604490541532e-05,4.245711516763449e-05,168.0450776175725
1790290860,4.245711516763449e-05,4.251917241812095e-05,4.191933060705317e-05,4.191933060705317e-05,15.40278535331806
1790290920,4.191933060705317e-05,4.725663282103188e-05,4.191933060705317e-05,4.712024282330099e-05,651.9054767895725
1790290980,4.712024282330099e-05,5.018391942204196e-05,4.706669287419123e-05,5.018391942204196e-05,473.6634283802544
1790291040,5.018391942204196e-05,5.049029014882275e-05,4.92683777494188e-05,4.932094989058773e-05,331.25528574385766
1790291100,4.932094989058773e-05,5.008881792207607e-05,4.8960969273540965e-05,5.008881792207607e-05,82.77442213358434
1790291160,5.008881792207607e-05,5.038111199933539e-05,4.822038628074529e-05,4.887354045201116e-05,289.6678335301765
1790291220,4.887354045201116e-05,4.887354045201116e-05,4.670173578970516e-05,4.670173578970516e-05,193.96413647476115
